id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
102,22,37.56,126.94,1033,1804,67,791,537,1421,25997
103,16,37.56,126.94,1019,1867,141,925,606,1377,41242
104,15,37.56,126.94,1327,2221,92,339,1084,934,25997
105,7,37.56,126.94,1321,2292,34,277,1149,952,25997
106,12,37.56,126.94,1181,2476,201,294,1284,1151,19153
107,7,37.56,126.94,1754,1426,471,1115,655,964,25997
108,12,37.56,126.94,1646,1954,483,611,1183,647,25997
109,12,37.56,126.94,1819,2514,216,358,1471,606,26163
111,12,37.56,126.94,2120,2520,97,671,1157,378,26163
112,12,37.56,126.94,2066,2370,173,664,1181,278,26163
114,17,37.56,126.94,2235,1539,60,856,858,693,25997
115,17,37.56,126.94,2523,1438,373,1038,882,905,24372
179,17,37.56,126.94,2330,426,42,184,728,1422,42865
476,10,37.56,127,4194,3823,160,218,204,1088,6284
181,17,37.56,126.9,237,2573,840,1240,1431,2022,41242
182,12,37.56,126.9,249,2544,813,1234,1292,2007,41242
183,17,37.56,126.94,2270,574,998,666,201,1677,16953
184,11,37.56,126.94,1053,1628,379,442,454,1810,61695
185,17,37.53,126.94,1794,3354,583,438,729,1059,23877
2535,15,37.5,127,715,4524,697,326,388,806,102434
2536,20,37.47,127.06,7429,547,1240,1493,1505,2715,69101
2537,10,37.47,127.06,4768,2104,299,996,351,668,69101
2538,10,37.53,127,853,2090,617,698,855,2374,35131
2540,10,37.5,127,1190,4976,495,570,495,826,102434
2541,15,37.44,127.06,9694,4919,2372,2718,3669,4306,18481
2542,10,37.5,127,2506,3304,143,666,739,1713,102434
2545,18,37.5,127,1627,4748,666,601,889,362,102434
2548,10,37.5,127,1426,3132,527,744,696,1346,102434
2549,10,37.47,127,6169,775,1766,736,2251,2387,69101
2550,10,37.47,127.06,6662,390,403,621,610,1479,69101
2601,12,37.5,127.1,1904,3079,517,1203,915,3195,152347
2603,12,37.47,127.1,5904,1465,440,891,568,3146,33055
2604,12,37.53,127.1,786,1873,819,619,759,2124,40806
2605,17,37.47,127.1,6502,984,69,1330,1094,2114,33055
2606,12,37.47,127.1,6707,1488,1287,535,936,3023,30142
2607,17,37.47,127.1,6560,966,35,1368,1165,2043,33055
2608,17,37.5,127.1,1371,2114,539,719,925,2269,152347
2609,12,37.53,127.1,3281,607,593,573,104,389,42568
2610,12,37.5,127.1,2276,2293,561,767,1077,2411,46888
2611,9,37.53,127.1,1239,1980,726,517,574,1891,40806
2612,12,37.5,127.1,3979,3365,910,639,626,3940,89512
2613,20,37.53,127.06,727,3391,680,233,169,3164,152347
2614,17,37.5,127.1,3554,2382,505,161,29,2359,46888
2615,17,37.5,127.1,4714,2622,298,343,607,3640,51268
2616,12,37.5,127.1,4560,2900,477,595,174,2700,30142
2617,17,37.5,127.1,4492,2923,327,715,119,2737,89512
2618,16,37.5,127.06,1523,4058,25,986,643,4190,152347
2619,11,37.5,127.1,2120,3530,15,366,393,3626,32613
2620,17,37.5,127.1,1972,1905,119,534,722,1988,46888
2621,17,37.53,127.1,1514,1196,325,342,1106,1344,42568
2622,22,37.53,127.1,3577,600,34,840,558,434,42568
2623,15,37.5,127.1,2446,2953,364,591,854,3029,34309
2625,15,37.5,127.1,3306,3428,640,646,715,3439,89512
2626,15,37.5,127.1,4414,2880,65,539,874,2784,89512
2627,10,37.5,127.1,4778,2463,759,701,668,3245,51268
2628,15,37.5,127.1,4947,2387,74,465,396,3868,51268
2629,15,37.5,127.1,4649,2677,633,922,1000,3876,51268
2630,12,37.5,127.1,3254,1809,518,612,301,1832,42568
2631,15,37.5,127.1,2576,3891,560,193,157,3960,32613
2632,9,37.5,127.1,2144,3442,80,422,442,3536,34309
2633,20,37.47,127.1,7230,1306,1714,665,349,2489,5674
2634,15,37.47,127.1,6617,909,985,233,944,2809,33055
2635,15,37.5,127.06,819,3851,52,557,319,3633,152347
2637,15,37.5,127.06,769,4930,440,538,688,3502,152347
2638,8,37.53,127.1,1198,1089,428,191,599,1340,40806
2639,18,37.5,127.1,2538,2614,39,1133,672,2690,34309
2641,10,37.5,127.1,3244,2800,70,705,541,2809,89512
2642,12,37.5,127.1,4730,2793,845,997,956,2557,41006
2643,10,37.53,127.1,1123,1080,630,75,799,1328,40806
2644,10,37.5,127.1,4035,2338,473,112,789,2142,41067
2645,10,37.53,127.06,248,3938,537,509,437,3052,152347
2647,15,37.5,127.1,1793,2651,207,688,985,2796,152347
2648,30,37.5,127.1,3233,3632,869,444,890,3652,89512
2649,10,37.5,127.1,3399,1803,533,303,235,1639,41067
2650,11,37.47,127.1,6580,1056,1058,160,842,2972,33055
2651,20,37.5,127.1,4462,2862,27,474,911,2762,89512
2652,20,37.5,127.1,3285,1486,722,288,592,1294,41067
2653,20,37.5,127.1,4142,1039,427,423,799,923,42568
2654,10,37.5,127.1,3170,1349,685,277,664,1159,42568
2655,20,37.5,127.1,3749,2459,595,218,176,2417,46888
2656,10,37.53,127.1,908,1277,759,236,754,1520,40806
2657,10,37.47,127.1,6149,1230,535,680,684,2967,33055
2658,10,37.5,127.1,3858,3100,338,845,708,3060,89512
2659,10,37.5,127.1,3274,3686,915,387,463,3704,89512
2701,17,37.56,126.8,2861,3447,167,609,982,2997,65493
2702,22,37.56,126.8,2202,3214,270,216,170,3818,65493
2703,20,37.56,126.9,2193,4780,257,278,924,1583,42579
2704,10,37.56,126.9,2134,4539,345,263,139,1070,78091
2706,13,37.56,126.8,1371,2643,355,691,73,4524,94186
2707,13,37.56,126.9,2780,2985,332,700,519,2555,65493
2708,15,37.56,126.9,2373,3714,605,594,377,1834,65493
2709,20,37.56,126.9,1673,4753,413,700,612,1781,65493
2710,30,37.56,126.8,3035,2814,360,375,782,2743,65493
2711,9,37.53,126.8,4713,6849,545,457,647,1939,206348
2712,10,37.53,126.8,4331,7285,402,178,409,1550,206348
2713,13,37.56,126.9,3279,5377,914,1085,838,662,206348
2714,10,37.56,126.8,4220,4723,686,599,226,2107,38507
2715,25,37.56,126.8,2695,3257,23,549,892,3110,65493
2716,30,37.56,126.8,2355,2804,475,698,881,3363,65493
