areaid,value,stationLatitude,stationLongitude
1,"37.43097687, 127.07033539",37.43097687,127.07033539
2,"37.4532814, 127.05148315",37.4532814,127.05148315
3,"37.45563126, 127.08097839",37.45563126,127.08097839
4,"37.45742416, 127.02265167",37.45742416,127.02265167
5,"37.46157837, 127.04879761",37.46157837,127.04879761
6,"37.46461868, 127.10684967",37.46461868,127.10684967
7,"37.46750641, 127.03447723",37.46750641,127.03447723
8,"37.46965027, 127.03961182",37.46965027,127.03961182
9,"37.47153854, 127.05059052",37.47153854,127.05059052
10,"37.47296906, 127.11222839",37.47296906,127.11222839
11,"37.47465897, 127.1377182",37.47465897,127.1377182
12,"37.47598648, 127.05962372",37.47598648,127.05962372
13,"37.47720337, 127.00583649",37.47720337,127.00583649
14,"37.47753143, 127.14151764",37.47753143,127.14151764
15,"37.47854996, 127.13813782",37.47854996,127.13813782
16,"37.47916031, 127.13219452",37.47916031,127.13219452
17,"37.48057556, 127.11856842",37.48057556,127.11856842
18,"37.48123932, 127.11979675",37.48123932,127.11979675
19,"37.48173904, 127.14322662",37.48173904,127.14322662
20,"37.48297882, 127.04225922",37.48297882,127.04225922
21,"37.48387909, 127.0890274",37.48387909,127.0890274
22,"37.48455811, 127.01486969",37.48455811,127.01486969
23,"37.48515701, 127.03407288",37.48515701,127.03407288
24,"37.48598862, 127.12476349",37.48598862,127.12476349
25,"37.48669815, 127.12244415",37.48669815,127.12244415
26,"37.48731613, 127.02489471",37.48731613,127.02489471
27,"37.48871994, 127.07453918",37.48871994,127.07453918
28,"37.48927689, 127.06557465",37.48927689,127.06557465
29,"37.4908371, 127.08065033",37.4908371,127.08065033
30,"37.49179077, 127.08821106",37.49179077,127.08821106
31,"37.4928093, 127.04138947",37.4928093,127.04138947
32,"37.49400711, 127.07951355",37.49400711,127.07951355
33,"37.49482346, 127.04790497",37.49482346,127.04790497
34,"37.49611664, 127.06944275",37.49611664,127.06944275
35,"37.49691391, 127.02496338",37.49691391,127.02496338
36,"37.4986496, 127.05931854",37.4986496,127.05931854
37,"37.49987411, 127.14147949",37.49987411,127.14147949
38,"37.50057983, 127.11884308",37.50057983,127.11884308
39,"37.50186157, 127.11723328",37.50186157,127.11723328
40,"37.50241089, 127.02160645",37.50241089,127.02160645
41,"37.50358582, 127.04264069",37.50358582,127.04264069
42,"37.50458908, 127.13936615",37.50458908,127.13936615
43,"37.50541306, 127.13169098",37.50541306,127.13169098
44,"37.50593185, 127.10774994",37.50593185,127.10774994
45,"37.5067482, 127.09883118",37.5067482,127.09883118
46,"37.50831985, 127.13321686",37.50831985,127.13321686
47,"37.50957489, 127.0634079",37.50957489,127.0634079
48,"37.51050949, 127.09336853",37.51050949,127.09336853
49,"37.51194382, 127.09121704",37.51194382,127.09121704
50,"37.51298904, 127.01117706",37.51298904,127.01117706
51,"37.51393509, 127.05982208",37.51393509,127.05982208
52,"37.51486969, 127.01528168",37.51486969,127.01528168
53,"37.51678085, 127.09049225",37.51678085,127.09049225
54,"37.51807022, 127.04711914",37.51807022,127.04711914
55,"37.52007675, 127.11236572",37.52007675,127.11236572
56,"37.52127457, 127.06103516",37.52127457,127.06103516
57,"37.52361298, 127.04017639",37.52361298,127.04017639
58,"37.52681351, 127.1181488",37.52681351,127.1181488
59,"37.52906036, 127.00672913",37.52906036,127.00672913
60,"37.53071594, 127.12098694",37.53071594,127.12098694
61,"37.53310776, 127.12277222",37.53310776,127.12277222
62,"37.53474426, 127.13528442",37.53474426,127.13528442
63,"37.53546524, 127.09448242",37.53546524,127.09448242
64,"37.53680038, 127.09083557",37.53680038,127.09083557
65,"37.5377655, 127.15201569",37.5377655,127.15201569
66,"37.53913879, 127.07061768",37.53913879,127.07061768
67,"37.54114532, 127.14105225",37.54114532,127.14105225
68,"37.54191208, 127.07763672",37.54191208,127.07763672
69,"37.54342651, 127.09661865",37.54342651,127.09661865
70,"37.54483032, 127.10426331",37.54483032,127.10426331
71,"37.54630661, 127.04980469",37.54630661,127.04980469
72,"37.54788971, 127.06745148",37.54788971,127.06745148
73,"37.54849625, 127.07476044",37.54849625,127.07476044
