Unnamed: 0,stationId,id,stationName,rackTotCnt,stationLatitude,stationLongitude,address_name,region_1depth_name,region_2depth_name,region_3depth_name,main_address_no,sub_address_no,username,areaid
0,ST-4,102,망원역 1번출구 앞,22,37.5556488,126.91062927,서울 마포구 서교동 475-24,서울,마포구,서교동,475.0,24.0,bike40,40
1,ST-5,103,망원역 2번출구 앞,16,37.55495071,126.91083527,서울 마포구 망원동 386-2,서울,마포구,망원동,386.0,2.0,bike40,40
2,ST-6,104,합정역 1번출구 앞,15,37.55062866,126.91498566,서울 마포구 서교동 393-5,서울,마포구,서교동,393.0,5.0,bike42,42
3,ST-7,105,합정역 5번출구 앞,7,37.55000687,126.91482544,서울 마포구 서교동 427,서울,마포구,서교동,427.0,,bike42,42
4,ST-8,106,합정역 7번출구 앞,12,37.54864502,126.91282654,서울 마포구 합정동 381-67,서울,마포구,합정동,381.0,67.0,bike41,41
5,ST-9,107,신한은행 서교동금융센터점 앞,7,37.55751038,126.91850281,서울 마포구 서교동 449-14,서울,마포구,서교동,449.0,14.0,bike44,44
6,ST-10,108,서교동 사거리,12,37.55274582,126.91861725,서울 마포구 서교동 372-1,서울,마포구,서교동,372.0,1.0,bike44,44
7,ST-11,109,제일빌딩 앞,12,37.54769135,126.91998291,서울 마포구 당인동 12-4,서울,마포구,당인동,12.0,4.0,bike45,45
8,ST-15,111,상수역 2번출구 앞,12,37.54787064,126.92353058,서울 마포구 상수동 309-5,서울,마포구,상수동,309.0,5.0,bike48,48
9,ST-16,112,극동방송국 앞,12,37.54920197,126.92320251,서울 마포구 상수동 89-1,서울,마포구,상수동,89.0,1.0,bike48,48
10,ST-20,114,홍대입구역 8번출구 앞,17,37.55706024,126.92442322,서울 마포구 동교동 166-13,서울,마포구,동교동,166.0,13.0,bike49,49
11,ST-12,115,사루비아 빌딩 앞,17,37.55893326,126.92711639,서울 서대문구 창천동 515-5,서울,서대문구,창천동,515.0,5.0,bike51,51
12,ST-14,116,일진아이윌아파트 옆,7,37.56454086,126.92707062,서울 서대문구 연희동 222-1,서울,서대문구,연희동,222.0,1.0,bike50,50
13,ST-17,117,홍은사거리,27,37.59115982,126.94132996,서울 서대문구 홍은동 217-27,서울,서대문구,홍은동,217.0,27.0,bike58,58
14,ST-19,118,광흥창역 2번출구 앞,12,37.54773331,126.9317627,서울 마포구 창전동 242,서울,마포구,창전동,242.0,,bike53,53
15,ST-21,119,서강나루 공원,12,37.54528427,126.93105316,서울 마포구 창전동 165-5,서울,마포구,창전동,165.0,5.0,bike53,53
16,ST-22,120,신수동 사거리,7,37.54524231,126.93411255,서울 마포구 신수동 371-1,서울,마포구,신수동,371.0,1.0,bike55,55
17,ST-23,121,마포소방서 앞,17,37.54976654,126.93317413,서울 마포구 신수동 100-2,서울,마포구,신수동,100.0,2.0,bike54,54
18,ST-24,122,신성기사식당 앞,12,37.54745865,126.93837738,서울 마포구 신수동 50-2,서울,마포구,신수동,50.0,2.0,bike57,57
19,ST-25,123,문화촌 공원,22,37.59432983,126.9473877,서울 서대문구 홍제동 277-33,서울,서대문구,홍제동,277.0,33.0,bike60,60
20,ST-26,124,서강대 정문 건너편,22,37.55113983,126.93698883,서울 마포구 신수동 85-26,서울,마포구,신수동,85.0,26.0,bike57,57
21,ST-27,125,서강대 남문 옆,17,37.54948425,126.93894958,서울 마포구 신수동 1-31,서울,마포구,신수동,1.0,31.0,bike57,57
22,ST-28,126,서강대 후문 옆,22,37.55041122,126.94384766,서울 마포구 대흥동 22-60,서울,마포구,대흥동,22.0,60.0,bike58,58
23,ST-29,127,현대벤처빌 앞,17,37.5535202,126.93695068,서울 마포구 노고산동 107-36,서울,마포구,노고산동,107.0,36.0,bike57,57
24,ST-30,128,신촌역(2호선) 1번출구 옆,22,37.55549622,126.93634033,서울 서대문구 창천동 30-35,서울,서대문구,창천동,30.0,35.0,bike56,56
25,ST-32,130,신촌역(2호선) 7번출구 앞,12,37.55485916,126.93615723,서울 마포구 노고산동 57-2,서울,마포구,노고산동,57.0,2.0,bike56,56
26,ST-33,131,증산2교,25,37.5841713,126.91110229,서울 서대문구 북가좌동 352-1,서울,서대문구,북가좌동,352.0,1.0,bike40,40
27,ST-35,133,해담는다리,17,37.58203125,126.90899658,서울 서대문구 북가좌동 345-26,서울,서대문구,북가좌동,345.0,26.0,bike39,39
28,ST-36,134,연세로 명물길,10,37.55789185,126.93807983,서울 서대문구 창천동 13-19,서울,서대문구,창천동,13.0,19.0,bike57,57
29,ST-37,135,명물길 원형무대 앞,12,37.5591011,126.93917847,서울 서대문구 창천동 31-61,서울,서대문구,창천동,31.0,61.0,bike58,58
30,ST-38,136,대흥동 주민센터,9,37.55600357,126.94229889,서울 마포구 노고산동 1-50,서울,마포구,노고산동,1.0,50.0,bike58,58
